0,5.37847,0
10000,5.34521,0.0332579
20000,5.38689,0.0458891
30000,5.39082,0.032686
40000,5.39512,0.0256815
50000,5.38192,0.0247809
60000,5.38342,0.0209974
70000,5.38645,0.0184357
80000,5.38926,0.0164998
90000,5.37944,0.0177302
100000,5.37166,0.0178247
110000,5.36783,0.0167152
120000,5.38635,0.0240658
130000,5.39397,0.0235505
140000,5.39263,0.0219652
150000,5.40232,0.0227155
160000,5.41159,0.0232618
170000,5.42401,0.0252086
180000,5.43118,0.0248972
190000,5.43433,0.0238298
200000,5.43894,0.0231302
210000,5.44047,0.0221066
220000,5.44773,0.0223378
230000,5.44788,0.0213874
240000,5.44208,0.0213179
250000,5.43839,0.020812
260000,5.43836,0.0200264
270000,5.43619,0.0194193
280000,5.44092,0.0193253
290000,5.44375,0.0188834
300000,5.44249,0.0183077
310000,5.44805,0.0185791
320000,5.45447,0.0191185
330000,5.453,0.0186065
340000,5.45299,0.018067
350000,5.45303,0.0175581
360000,5.45119,0.0171758
370000,5.44735,0.0171538
380000,5.44795,0.0167191
390000,5.44947,0.0163659
400000,5.44763,0.0160667
410000,5.45061,0.0159597
420000,5.45109,0.0155915
430000,5.45431,0.0155701
440000,5.45556,0.0152713
450000,5.45562,0.0149357
460000,5.45638,0.0146339
470000,5.45506,0.0143868
480000,5.45418,0.0141174
490000,5.45469,0.0138415
500000,5.45371,0.0136025
510000,5.45535,0.0134392
520000,5.45617,0.0132085
530000,5.45803,0.0130939
540000,5.45435,0.0133685
550000,5.45672,0.0133399
560000,5.45729,0.0131159
570000,5.45915,0.0130219
580000,5.45562,0.013278
590000,5.45573,0.0130553
600000,5.45831,0.013096
610000,5.45811,0.0128845
620000,5.45837,0.0126809
630000,5.45641,0.0126344
640000,5.45656,0.0124394
650000,5.45578,0.0122742
660000,5.45432,0.012177
670000,5.45341,0.0120314
680000,5.45283,0.01187
690000,5.45451,0.0118202
700000,5.4539,0.0116686
710000,5.45449,0.0115205
720000,5.45494,0.0113704
730000,5.45429,0.0112344
740000,5.45451,0.0110858
750000,5.45509,0.0109541
760000,5.45322,0.0109717
770000,5.45228,0.0108709
780000,5.45162,0.0107527
790000,5.45027,0.0107019
800000,5.4492,0.010623
810000,5.44969,0.0105036
820000,5.44762,0.0105805
830000,5.44675,0.0104897
840000,5.44813,0.0104568
850000,5.44824,0.0103352
860000,5.44775,0.0102276
870000,5.44855,0.0101427
880000,5.44797,0.0100447
890000,5.44618,0.0100932
900000,5.44703,0.010018
910000,5.44779,0.00993752
920000,5.44965,0.010004
930000,5.4483,0.00998857
940000,5.44668,0.0100149
950000,5.44786,0.00998003
960000,5.44761,0.00987976
970000,5.44717,0.00978841
980000,5.44677,0.00969716
990000,5.44622,0.00961568
